candidate_id,composition,control_effort_normalized2_s,estimated_tracking_orientation_final_rad,estimated_tracking_orientation_p95_rad,estimated_tracking_orientation_rmse_rad,estimated_tracking_position_final_m,estimated_tracking_position_p95_m,estimated_tracking_position_rmse_m,experiment,force_direction,force_estimation_mae_n,force_estimation_rmse_n,group_violation_max_n,metric_window_end_s,metric_window_start_s,mode,modulation_amplitude,modulation_frequency_hz,moment_direction,moment_estimation_mae_nm,moment_estimation_rmse_nm,observer_orientation_rmse_rad,observer_position_rmse_m,relative_scale,seed,slew_violation_max_fraction,solver_max_iter_status_fraction,solver_nonstandard_status_fraction,solver_time_median_ms,solver_time_p95_ms,stage,static_allocation,thruster_saturation_fraction,tracking_orientation_final_rad,tracking_orientation_p95_rad,tracking_orientation_rmse_rad,tracking_position_final_m,tracking_position_p95_m,tracking_position_rmse_m,wrench_fx_bias_n,wrench_fx_rmse_n,wrench_fy_bias_n,wrench_fy_rmse_n,wrench_fz_bias_n,wrench_fz_rmse_n,wrench_mx_bias_nm,wrench_mx_rmse_nm,wrench_my_bias_nm,wrench_my_rmse_nm,wrench_mz_bias_nm,wrench_mz_rmse_nm
force_only_f0p005,force_only,51.44224087428665,0.02985537017907729,0.05121244775791195,0.031358196901552254,0.07140158486470634,0.07003384697686431,0.05060690036640889,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.007560135623967976,0.0077317254009630415,0.0,60.0,15.0,ignore,0.25,0.005,"[0.0, 0.0, 0.0]",0.0003959122174186062,0.00043269773827479504,0.01131066552797559,0.01529927604763507,0.35,0,0.0,0.8977777777777778,0.0,14.584708027541637,16.49441535118967,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",9.259259259259259e-05,0.042604774459734374,0.05269341901930538,0.035949792671603545,0.06743280556360107,0.07850630626837722,0.059795637095400485,0.00034166993970405015,0.002041223240653477,0.007161836882774152,0.007363669639619925,0.0005289093278605846,0.00117870895315722,-4.23421589862677e-05,0.0001449859751005026,0.00022134278737103436,0.0002923055317442111,0.00017492902877049425,0.0002841898587986796
force_only_f0p005,force_only,50.9517433116917,0.050230808101547,0.07328847825114321,0.03700716283172857,0.045884576574973565,0.07325402545396173,0.040017600451864206,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.0070348967855734575,0.007181948564463606,0.0,60.0,15.0,estimate,0.25,0.005,"[0.0, 0.0, 0.0]",0.0003935350733916518,0.00045476111236006985,0.011314900134464845,0.015037311400419234,0.35,0,0.0,0.8655555555555555,0.01,14.475208357907832,16.765083360951394,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",0.0,0.06278472427689821,0.07829340462410478,0.040536663775894044,0.0448374032483407,0.0802918177035294,0.049961710642818284,0.00022100119732385793,0.002437347057984319,0.006468620733228315,0.006673710833055969,0.0003373364157157082,0.0010494323314475485,-4.3466283603001875e-05,0.00016158466876641997,0.0002677661568111196,0.0003606030104153826,0.0001573768064014104,0.00022508561263212247
force_only_f0p015,force_only,43.520372208709446,0.04761321364180883,0.04869854878084164,0.028057530002345912,0.05332561367862412,0.05910442903319331,0.04341714072825734,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.01598103488531311,0.017694774100094103,0.0,60.0,15.0,ignore,0.25,0.015,"[0.0, 0.0, 0.0]",0.0003385523840056626,0.0003863282080700993,0.011312824500350805,0.030824428371012486,0.35,0,0.0,0.8211111111111111,0.0,14.28316708188504,16.230064549017698,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",0.0,0.0603468207984613,0.0616423390001035,0.034021073963887864,0.05030088346521369,0.08982964411746226,0.060914237247117926,-0.0003117498029004541,0.002244415815257126,0.01569095921475969,0.017505542418688028,0.000496512067052792,0.0012742106298014356,-3.8682336995706676e-05,0.0001259970604675316,0.00018871864439278386,0.00026999597518842907,0.00016819747401840374,0.00024591949594581625
force_only_f0p015,force_only,47.19130489757708,0.039089138586048636,0.16626967769701764,0.0617774302642056,0.037432341323534825,0.1851342389346981,0.07301351723138905,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.016413218348853675,0.01828750101940916,0.0,60.0,15.0,estimate,0.25,0.015,"[0.0, 0.0, 0.0]",0.0004106605019357891,0.00044875398623356284,0.011325258636035541,0.03313239646497282,0.35,0,0.0,0.8777777777777778,0.022222222222222223,13.230770942755044,18.337788176722825,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",0.0,0.05194335790058698,0.16069605787100957,0.06285242302378401,0.03492778661760162,0.16630025807705134,0.08536826976263745,0.001079096686423116,0.002905229296319122,0.01586757765597195,0.018034432971916703,3.592540977754916e-05,0.0008669277087184676,-3.025900864105374e-05,0.0001374698743550827,0.000274733519781305,0.0003455172600024736,0.0001337572934498732,0.0002511971274630615
force_only_f0p03,force_only,44.409553560116635,0.0337037112430887,0.057163226169986474,0.03461902190504861,0.03795981375975942,0.10476569830500056,0.05864031575479994,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.02340259163533683,0.026028598984877974,0.0,60.0,15.0,ignore,0.25,0.03,"[0.0, 0.0, 0.0]",0.00036239658431612247,0.0004109887290183046,0.01131862811978939,0.04077378563005934,0.35,0,0.0,0.8488888888888889,0.0,12.678146013058722,18.970997724682093,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",0.0,0.0466612854149988,0.060465287894355256,0.0372662999976466,0.07191554717429927,0.15841011117302972,0.08508927544277978,7.373317147341548e-05,0.0019566859424331273,0.01482593240861496,0.025928691912079267,0.0006664527583250191,0.0011671679256861894,-7.757672675373378e-06,0.00010754075086023639,0.0002212203275647064,0.00027840473530998635,0.00018881184945259628,0.00028255534969537285
force_only_f0p03,force_only,43.166409818896085,0.0346362113035261,0.05027921352498864,0.030406944750883798,0.027951162666795447,0.07219068968715874,0.04273103360298762,applicability_bandwidth,"[0.0, 1.0, 0.0]",0.022861199124255525,0.025531160442446306,0.0,60.0,15.0,estimate,0.25,0.03,"[0.0, 0.0, 0.0]",0.0003904578642611676,0.00043164529002410063,0.011330409840453892,0.03825272253287632,0.35,0,0.0,0.9044444444444445,0.0,12.741249869577587,18.56620422331616,bandwidth,"{'active_constraints': ['group_1'], 'balance_residual_norm': 0.0, 'basis_wrench': [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'group_totals_n': [0.2238621644804581, 0.0], 'lambda_max': 0.2238621644804581, 'lambda_unit': 'N', 'thruster_forces_n': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11193108224022905, 0.11193108224022905, 0.0, 0.0, 0.0, 0.0]}",0.0,0.04791618988613115,0.052087807970911636,0.03507202270007493,0.0823716339146945,0.11789865553289161,0.07403345806711942,0.00020224589694555774,0.002326946549052169,0.014861886040171584,0.025408814291582434,0.00047817270641057784,0.0009042287275161346,-5.171200316944005e-05,0.00015092368842098536,0.00023253206545355005,0.0003088002233030728,0.00017948875119654312,0.00026111705949892987
moment_only_f0p005,moment_only,74.16903892444746,0.3695818604635935,0.497310428253597,0.2279804196874055,0.010159588992917553,0.1366962619767942,0.06634923882632329,applicability_bandwidth,"[0.0, 0.0, 0.0]",0.002419202567311591,0.002450051571362828,0.0,60.0,15.0,ignore,0.25,0.005,"[0.0, 1.0, 0.0]",0.0016371040085677955,0.0016756069199872065,0.01105630742489599,0.014832181155538197,0.55,0,0.0,0.9155555555555556,0.08333333333333333,13.64824955817312,20.028366940096017,bandwidth,"{'active_constraints': ['thruster_2', 'group_1'], 'balance_residual_norm': 2.8025365006239155e-17, 'basis_wrench': [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 'group_totals_n': [0.22386216448045812, 0.02056601608943196], 'lambda_max': 0.02574414891525268, 'lambda_unit': 'N*m', 'thruster_forces_n': [0.0, 0.10164807419551308, 0.10164807419551306, 0.0, 0.01028300804471598, 0.0, 0.0, 0.01028300804471598, 0.0, 0.010283008044715982, 0.010283008044715979, 0.0]}",0.0,0.35860783596672635,0.48619056223170176,0.22086836212775043,0.01808076417588871,0.13328996427181103,0.06707033944447352,-0.0008285398717787514,0.0015621034251665881,0.00046963109924797196,0.0013670543057671882,0.0009727217638965486,0.0013014407848625567,0.00014567894992492065,0.0002633042377574848,0.0015280781398681236,0.0015609986694981432,0.00041508656006855106,0.0005491926642927674
moment_only_f0p005,moment_only,75.16280466648524,0.04689134402336663,0.09214595352166126,0.049979568697086287,0.044156214937889834,0.0663627058936928,0.04075444779469844,applicability_bandwidth,"[0.0, 0.0, 0.0]",0.0023576919663619044,0.0024486476453688772,0.0,60.0,15.0,estimate,0.25,0.005,"[0.0, 1.0, 0.0]",0.0016677510489551892,0.001693931871469878,0.011208191341710652,0.015201630241746047,0.55,0,0.0,0.9988888888888889,0.0011111111111111111,13.670042040757835,18.782624951563772,bandwidth,"{'active_constraints': ['thruster_2', 'group_1'], 'balance_residual_norm': 2.8025365006239155e-17, 'basis_wrench': [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 'group_totals_n': [0.22386216448045812, 0.02056601608943196], 'lambda_max': 0.02574414891525268, 'lambda_unit': 'N*m', 'thruster_forces_n': [0.0, 0.10164807419551308, 0.10164807419551306, 0.0, 0.01028300804471598, 0.0, 0.0, 0.01028300804471598, 0.0, 0.010283008044715982, 0.010283008044715979, 0.0]}",9.259259259259259e-05,0.048706588577948975,0.08495928013398434,0.04528554270350619,0.05951598457027122,0.07142282416703227,0.04707367346762433,-0.0008226613331622033,0.0015451397816782283,0.0004487135912477012,0.0016395749533548603,0.0002993392926790517,0.0009592769769869967,9.219501441103532e-05,0.0002514410741368442,0.00152541153936144,0.001545319884653643,0.0004380357040669139,0.0006466598994157632
moment_only_f0p015,moment_only,71.48840012550089,0.06876410091266966,0.3504834087488373,0.18899047676396682,0.026127491809870833,0.19128627726496264,0.08288978992061131,applicability_bandwidth,"[0.0, 0.0, 0.0]",0.0034983144338921047,0.0035879903026182413,0.0,60.0,15.0,ignore,0.25,0.015,"[0.0, 1.0, 0.0]",0.001661914924540312,0.0016858927408124143,0.011762411771506448,0.018859644091910942,0.55,0,0.0,0.9722222222222222,0.014444444444444444,13.857083511538804,19.25909015117213,bandwidth,"{'active_constraints': ['thruster_2', 'group_1'], 'balance_residual_norm': 2.8025365006239155e-17, 'basis_wrench': [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 'group_totals_n': [0.22386216448045812, 0.02056601608943196], 'lambda_max': 0.02574414891525268, 'lambda_unit': 'N*m', 'thruster_forces_n': [0.0, 0.10164807419551308, 0.10164807419551306, 0.0, 0.01028300804471598, 0.0, 0.0, 0.01028300804471598, 0.0, 0.010283008044715982, 0.010283008044715979, 0.0]}",0.0,0.06435256650515692,0.3424023085561224,0.1825795651594268,0.03190138624181508,0.19464907758943603,0.08831784296409355,-0.0015442704548039574,0.0017978976478341786,0.0015743924810915557,0.002266282813993183,0.0014073347491142304,0.002122545798467964,0.00015260783600694902,0.000350143381542436,0.0015299764047214833,0.001563899260000155,0.00030224000556273924,0.0005233097079712824
moment_only_f0p015,moment_only,99.8804639361584,0.7417826265547273,2.903706548288543,1.5689990613573273,1.6579327363264326e-05,0.3865971724268865,0.15068170591821298,applicability_bandwidth,"[0.0, 0.0, 0.0]",0.00299000657193934,0.003133086039017062,0.0,60.0,15.0,estimate,0.25,0.015,"[0.0, 1.0, 0.0]",0.003990648067980442,0.005039709385631156,0.1319495727744874,0.014737219966576523,0.55,0,0.0,0.09555555555555556,0.9044444444444445,3.706729388795793,14.356360724195838,bandwidth,"{'active_constraints': ['thruster_2', 'group_1'], 'balance_residual_norm': 2.8025365006239155e-17, 'basis_wrench': [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], 'group_totals_n': [0.22386216448045812, 0.02056601608943196], 'lambda_max': 0.02574414891525268, 'lambda_unit': 'N*m', 'thruster_forces_n': [0.0, 0.10164807419551308, 0.10164807419551306, 0.0, 0.01028300804471598, 0.0, 0.0, 0.01028300804471598, 0.0, 0.010283008044715982, 0.010283008044715979, 0.0]}",0.0,1.1156086720983514,2.9109328494169757,1.5719686428042732,0.02932667824181826,0.3762262734426939,0.14752557603110328,0.0007584461387155421,0.0010561794781844176,-0.0005214165734823904,0.002825352558196404,0.00035209938560990054,0.00084740542813859,0.001348408813811734,0.0014934621743809304,-0.002803848307759772,0.004760576610142467,0.00061719954770973,0.000710740293128658
