candidate_id,composition,env_closer_to_oracle,improvement_percent,orientation_improvement_percent,position_improvement_percent,primary_metric
force_only_holdout_101,force_only,False,7.682084467264743,-11.252496465588202,7.682084467264743,tracking_position_rmse_m
force_only_holdout_102,force_only,False,16.042691664755505,-3.014306923772612,16.042691664755505,tracking_position_rmse_m
force_only_holdout_103,force_only,True,2.0300364680656173,-7.605353323696946,2.0300364680656173,tracking_position_rmse_m
force_only_holdout_104,force_only,True,18.702584682421353,-33.00068850419545,18.702584682421353,tracking_position_rmse_m
force_only_holdout_105,force_only,False,8.785388482707154,1.8194406904559508,8.785388482707154,tracking_position_rmse_m
mixed_holdout_101,mixed,False,37.37503441701644,56.6524804140013,18.09758842003157,mean_relative_position_orientation_improvement
mixed_holdout_102,mixed,True,24.977451760762968,49.49363327166609,0.4612702498598434,mean_relative_position_orientation_improvement
mixed_holdout_103,mixed,True,38.85160009512825,55.043440386199485,22.65975980405701,mean_relative_position_orientation_improvement
mixed_holdout_104,mixed,True,16.773179519155036,25.07805196110321,8.468307077206866,mean_relative_position_orientation_improvement
mixed_holdout_105,mixed,False,5.4082547069904585,35.30742176848757,-24.490912354506655,mean_relative_position_orientation_improvement
moment_only_holdout_101,moment_only,True,-312.2031016671926,-312.2031016671926,1.3431400243835199,tracking_orientation_rmse_rad
moment_only_holdout_102,moment_only,True,65.81004157873231,65.81004157873231,3.4860855321426243,tracking_orientation_rmse_rad
moment_only_holdout_103,moment_only,False,80.44515926658644,80.44515926658644,69.36425446323025,tracking_orientation_rmse_rad
moment_only_holdout_104,moment_only,True,67.71927814669665,67.71927814669665,2.875611740691036,tracking_orientation_rmse_rad
moment_only_holdout_105,moment_only,True,87.19736344793452,87.19736344793452,-17.64318427095026,tracking_orientation_rmse_rad
