control_effort_normalized2_s,estimated_tracking_orientation_final_rad,estimated_tracking_orientation_p95_rad,estimated_tracking_orientation_rmse_rad,estimated_tracking_position_final_m,estimated_tracking_position_p95_m,estimated_tracking_position_rmse_m,experiment,force_estimation_mae_n,force_estimation_rmse_n,force_ratio,force_settling_time_s,group_violation_max_n,metric_window_end_s,metric_window_start_s,mode,moment_estimation_mae_nm,moment_estimation_rmse_nm,noise_multiplier,observer_orientation_rmse_rad,observer_position_rmse_m,profile,seed,slew_violation_max_fraction,solver_max_iter_status_fraction,solver_nonstandard_status_fraction,solver_time_median_ms,solver_time_p95_ms,thruster_saturation_fraction,tracking_orientation_final_rad,tracking_orientation_p95_rad,tracking_orientation_rmse_rad,tracking_position_final_m,tracking_position_p95_m,tracking_position_rmse_m,wrench_fx_bias_n,wrench_fx_rmse_n,wrench_fy_bias_n,wrench_fy_rmse_n,wrench_fz_bias_n,wrench_fz_rmse_n,wrench_mx_bias_nm,wrench_mx_rmse_nm,wrench_my_bias_nm,wrench_my_rmse_nm,wrench_mz_bias_nm,wrench_mz_rmse_nm
35.89370351010127,0.06533314512885183,0.0975593537268569,0.05551157493394646,0.04454873549373671,0.17435680026837805,0.06850126068719481,exp1_estimation,0.022916083688905173,0.054215223200441066,0.25,9.799999999999942,0.0,,,estimate,0.0009217659893735668,0.0013708496819022985,1.0,0.02340199009436226,0.037137586535651114,constant,0,0.0,0.975,0.0,15.947812469676137,18.53615284198895,0.0,0.08666804900168022,0.09697331857155894,0.06927111803444529,0.09091429498795142,0.24700233226853444,0.10030460560803901,0.01981359905762872,0.0525790562799536,0.0001385171542209884,0.00979575572597935,0.003237108297360343,0.008875609113748607,0.000175936404384705,0.000545381225297222,0.0006573709829844532,0.0010528750473649175,0.0003607869960633232,0.000687926089126773
32.09588422951496,0.041218051641938196,0.061305352823281,0.04466045655172755,0.03646401621702131,0.1328015342736404,0.05767484344931801,exp1_estimation,0.017005205144986872,0.03898590490657374,0.25,9.599999999999875,0.0,,,estimate,0.0008733481269565129,0.0010385504702686069,1.0,0.01751540572564603,0.03042419380400619,constant,1,0.0,0.9891666666666666,0.0,15.776479034684598,18.487304029986262,0.0,0.059692438852009144,0.07935063498681034,0.05944388555532607,0.057425936642834234,0.1781122256237437,0.07688223831499359,0.00043019316162358473,0.006925462894158576,-0.013008824659718362,0.038048170135002085,0.002599700545311434,0.004927016791525939,2.9126345221828765e-06,0.00024038752769385438,0.0003120592490567424,0.0004757683622559539,-0.0007004553464631731,0.0008913166560211181
34.626715105268374,0.05909231329802297,0.11003490540687655,0.0773290306833805,0.037785248656159225,0.21472015674599626,0.0811649411903568,exp1_estimation,0.025711545913186286,0.06654695656936027,0.25,10.000000000000009,0.0,,,estimate,0.0005297265649407954,0.0009621176116986776,1.0,0.01841422930510025,0.04277973374552942,constant,2,0.0,0.8433333333333334,0.0,15.872291522100568,18.510322575457394,0.0,0.0538630237858149,0.13168852086855723,0.08980643233414985,0.043313877520567846,0.31031272522963477,0.11797997654615026,0.0008831431659969334,0.003493174163372332,0.018141132996364745,0.0554158766556542,-0.011424568993296526,0.03667936446278736,-0.00018837682824132928,0.0006214912573119566,6.041771636958117e-05,0.0006395673986526731,-0.00015597249902728352,0.00036107126499656985
33.13644595027228,0.030708607271996292,0.04865599257195675,0.033911353537476,0.024300160004277725,0.19352964670019326,0.07202382228192183,exp1_estimation,0.02613685265320625,0.06614633610354025,0.25,10.000000000000009,0.0,,,estimate,0.0008669941509971983,0.0011382882990327936,1.0,0.009414873742599429,0.033657618180604504,constant,3,0.0,0.9683333333333334,0.0,15.97456238232553,18.87048941571265,0.0,0.046621791275862905,0.05789510346878044,0.03883198197872404,0.0361966451140472,0.23710006159903846,0.0939174565728053,-0.007070319729208614,0.018214817529356938,-0.019322461475353693,0.05204681670419212,0.009547865160936416,0.03653336931156187,0.0007583319803333435,0.000895263655269007,0.00018822031438603013,0.00045478549114197873,-7.000659123719066e-05,0.0005360721931942529
30.377318988066644,0.04097313594584347,0.06373123958697846,0.040322076033367876,0.025019721066608346,0.12697863642350574,0.05225456817256852,exp1_estimation,0.025407020887843267,0.054662185764588984,0.25,13.00000000000101,0.0,,,estimate,0.00043640140953469825,0.0009362307108751616,1.0,0.009885778531498338,0.042850718814573086,constant,4,0.0,0.9141666666666667,0.0,14.698187471367419,16.234208981040865,0.0,0.05827539963283786,0.06949727610816435,0.04449604227993462,0.033834186167966976,0.18338292448377294,0.08477846020577126,-0.022132627631729598,0.04577215844750909,0.0057884380089871035,0.015503104814655036,-0.008680690126717086,0.025544428056317403,-0.00019350265230616608,0.0007212180297137583,4.1324112678806206e-05,0.0005018854716426626,0.00011929286519075313,0.00032323903068106854
27.791790077723757,0.06250252406130687,0.06392827452298987,0.05055796517906214,0.03839183523643098,0.1506916805060169,0.07235385061963158,exp1_estimation,0.026892931118397054,0.055285664967552314,0.25,10.60599999999835,0.0,,,estimate,0.0008797359860721846,0.0013553646401822507,1.0,0.02321689925269437,0.04454767308178575,step,0,0.0,0.9591666666666666,0.0,12.486458523198962,13.781953405123204,0.0,0.08645014418796507,0.08555498473246406,0.06760844520635577,0.08929006529720632,0.22239967683569878,0.11323390552029146,0.020151906809959978,0.052348490093770746,-0.006247756085372904,0.015152846674206107,0.0042172036696324616,0.009302234864527345,0.0001663174543580841,0.0005531859353213327,0.0005411243890852551,0.001039621239891473,0.00032925676453203945,0.0006709592434608386
27.786413204747454,0.04094560176317788,0.06712425201765923,0.05076741768761372,0.03244097971371674,0.11589352344275534,0.06449185355364433,exp1_estimation,0.02223606637940753,0.04090819935103639,0.25,10.805999999998239,0.0,,,estimate,0.0008873474693932202,0.0010596858213805392,1.0,0.017478954603292973,0.040804311159992626,step,1,0.0,0.935,0.0,12.512395507656038,13.946695800404996,0.0,0.059320886999621555,0.08149160253811107,0.06481758029062536,0.05544853531139038,0.18214519551981292,0.0976402633730232,-0.004783240026851089,0.011431995120026675,-0.01749627483811492,0.038944810991265226,0.0012281331662832504,0.0051080288345356295,-2.7293690351686266e-05,0.00026136050635076745,0.0003520879302393846,0.0005016840863654904,-0.0006219066108290685,0.0008960679679815823
30.040290570134147,0.06453264997302594,0.09305677850911297,0.06726608254570078,0.03298617355177837,0.18788643996202817,0.08857308640589588,exp1_estimation,0.03138735682823042,0.06777632261951826,0.25,10.60599999999835,0.0,,,estimate,0.0006286910864693069,0.0010644651329334604,1.0,0.018569339633273667,0.05308640885698944,step,2,0.0,0.8766666666666667,0.0,12.617791537195444,14.516262838151306,0.0,0.060195483060462705,0.11393993146361356,0.07937359375744021,0.041264328552179964,0.2824384416684468,0.13683103380598635,-0.0023585970632746486,0.0066084415566485975,0.02340925836067306,0.056885845174276084,-0.013325422092478322,0.03624857275570548,-0.00029832938192921125,0.0007362616320181391,0.0001276662198638013,0.0006747405223819171,-0.00020028905529611714,0.0003684156021462905
29.297374633834174,0.053140741227533414,0.07508059217264748,0.038808133823133154,0.03129088408493047,0.1884673540545613,0.08006945244124214,exp1_estimation,0.03092345759645143,0.06760161267498788,0.25,10.805999999998239,0.0,,,estimate,0.0008400310511592779,0.0011157160415312649,1.0,0.00947890582151592,0.04519569807418661,step,3,0.0,0.9525,0.0,12.571771047078073,14.12404510192573,0.0,0.0670514027818486,0.07724852158848652,0.04363525727823419,0.03303330752069942,0.22870309575743744,0.11342377421050323,-0.006238052978837208,0.018474156756296985,-0.019517064885681727,0.051788177589781936,0.016724810838488837,0.03932770308996007,0.0006588064611150152,0.0008308003105071232,0.00012475112262835163,0.00048810873505448766,-9.31488774724577e-05,0.0005624437679937176
27.692937876810838,0.04608923173721102,0.06685976860891951,0.04200837180848764,0.0394958732880235,0.1541242712185347,0.0694726298743728,exp1_estimation,0.027317635752683825,0.05489652674397514,0.25,9.805999999998793,0.0,,,estimate,0.0005187545287155793,0.0010081019085199832,1.0,0.010037936155191904,0.04977528248008618,step,4,0.0,0.8716666666666667,0.0,12.264583026990294,14.311614295002071,0.0,0.061531721076564044,0.06886819450941918,0.045930076174660314,0.050375048416190366,0.21065017130221214,0.10831250973645686,-0.014861661592215235,0.04593481217339958,0.005811255809884574,0.015605868692314825,-0.010582403526697065,0.02569199372381809,-0.00017793090164297317,0.0007161065838477852,0.00012096830725796631,0.0005974235385885089,0.00014285818674670718,0.00038281318429734363
