control_effort_normalized2_s_mean,control_effort_normalized2_s_std,estimated_tracking_orientation_final_rad_mean,estimated_tracking_orientation_final_rad_std,estimated_tracking_orientation_p95_rad_mean,estimated_tracking_orientation_p95_rad_std,estimated_tracking_orientation_rmse_rad_mean,estimated_tracking_orientation_rmse_rad_std,estimated_tracking_position_final_m_mean,estimated_tracking_position_final_m_std,estimated_tracking_position_p95_m_mean,estimated_tracking_position_p95_m_std,estimated_tracking_position_rmse_m_mean,estimated_tracking_position_rmse_m_std,experiment,force_estimation_mae_n_mean,force_estimation_mae_n_std,force_estimation_rmse_n_mean,force_estimation_rmse_n_std,force_ratio,force_settling_time_s_mean,force_settling_time_s_std,group_violation_max_n_mean,group_violation_max_n_std,metric_window_end_s_mean,metric_window_end_s_std,metric_window_start_s_mean,metric_window_start_s_std,mode,moment_estimation_mae_nm_mean,moment_estimation_mae_nm_std,moment_estimation_rmse_nm_mean,moment_estimation_rmse_nm_std,n,noise_multiplier,observer_orientation_rmse_rad_mean,observer_orientation_rmse_rad_std,observer_position_rmse_m_mean,observer_position_rmse_m_std,profile,seed_mean,seed_std,slew_violation_max_fraction_mean,slew_violation_max_fraction_std,solver_max_iter_status_fraction_mean,solver_max_iter_status_fraction_std,solver_nonstandard_status_fraction_mean,solver_nonstandard_status_fraction_std,solver_time_median_ms_mean,solver_time_median_ms_std,solver_time_p95_ms_mean,solver_time_p95_ms_std,thruster_saturation_fraction_mean,thruster_saturation_fraction_std,tracking_orientation_final_rad_mean,tracking_orientation_final_rad_std,tracking_orientation_p95_rad_mean,tracking_orientation_p95_rad_std,tracking_orientation_rmse_rad_mean,tracking_orientation_rmse_rad_std,tracking_position_final_m_mean,tracking_position_final_m_std,tracking_position_p95_m_mean,tracking_position_p95_m_std,tracking_position_rmse_m_mean,tracking_position_rmse_m_std,wrench_fx_bias_n_mean,wrench_fx_bias_n_std,wrench_fx_rmse_n_mean,wrench_fx_rmse_n_std,wrench_fy_bias_n_mean,wrench_fy_bias_n_std,wrench_fy_rmse_n_mean,wrench_fy_rmse_n_std,wrench_fz_bias_n_mean,wrench_fz_bias_n_std,wrench_fz_rmse_n_mean,wrench_fz_rmse_n_std,wrench_mx_bias_nm_mean,wrench_mx_bias_nm_std,wrench_mx_rmse_nm_mean,wrench_mx_rmse_nm_std,wrench_my_bias_nm_mean,wrench_my_bias_nm_std,wrench_my_rmse_nm_mean,wrench_my_rmse_nm_std,wrench_mz_bias_nm_mean,wrench_mz_bias_nm_std,wrench_mz_rmse_nm_mean,wrench_mz_rmse_nm_std
33.2260135566447,2.149349315100153,0.04746505065733055,0.014286447991053433,0.07625736882318992,0.026158168922749,0.050346898347979674,0.01701226884899904,0.03362357628756067,0.008742126964177801,0.16847735488234275,0.0380640569875485,0.066323887156272,0.011513457283570434,exp1_estimation,0.02343534165762557,0.0038073307864039366,0.05611132130890086,0.011275848904115409,0.25,10.48000000000017,1.4184498581202452,0.0,0.0,,,,,estimate,0.0007256472483605543,0.00022489171086839693,0.0010892073547555075,0.0001759624362192642,5,1.0,0.015726455479841264,0.005985145653557884,0.03736997021607286,0.005508709386534987,constant,2.0,1.5811388300841898,0.0,0.0,0.9380000000000001,0.060076918289065966,0.0,0.0,15.65386657603085,0.5397489721479086,18.127695568837225,1.069999202410489,0.0,0.0,0.061024140509641014,0.015212234423686742,0.08708097080077426,0.028759569408408344,0.06036989203651597,0.020386637122853872,0.05233698808667353,0.023443479261660908,0.23118205384094487,0.05396325280707936,0.09477254744955188,0.015731056495960297,-0.0016152023951377947,0.015168569054925411,0.02539693386287011,0.02250872208567827,-0.001652639595099844,0.01492947467524443,0.034161944807096556,0.020788004289121864,-0.0009441170232810838,0.008800815518688955,0.022511957547188235,0.015014088583271912,0.00011106030773854721,0.00039283795651542155,0.0006047483390571597,0.00024214041286024093,0.00025187847509512267,0.00025153957074293724,0.0006249763542116372,0.0002498447069119221,-8.927091509471419e-05,0.0003951004930593254,0.0005599250468039565,0.00023576297466301673
35.70901872465367,3.1080287356630962,0.049002299468066335,0.014728332786908759,0.08184446295319689,0.01701030261290897,0.051881633924833824,0.012684663621766143,0.03738495069348845,0.004892704929912113,0.17036169142890073,0.03511752161790605,0.06897968590390294,0.01086470902380345,exp1_estimation,0.026846806147869405,0.003722878265939893,0.056942713347576314,0.011542619598370633,0.25,,,0.0,0.0,,,,,estimate,0.0011786727482267158,0.0005203932655401406,0.0014825504968770796,0.0005323453459967893,5,1.0,0.016128949690028066,0.0055283927041830825,0.039957261102752696,0.005621555769915942,slow,2.0,1.5811388300841898,0.0,0.0,0.9424999999999999,0.05230784942158405,0.0,0.0,12.467825366184115,0.23676870678818165,15.307526160031557,1.0070126642949915,0.0,0.0,0.062234633174167595,0.020817635928012737,0.0965474917653752,0.020372780772108533,0.06264809495100251,0.01596231886526816,0.05417167679760878,0.02073645078677278,0.2326843757446365,0.047838471210690334,0.10016203349023525,0.01494165298724388,-0.001581284557346401,0.01509804393851406,0.026245266132577445,0.021578544502338384,-0.0015677913526089536,0.014787182005885321,0.035094571308239224,0.020305455041054382,-0.0007876050964393937,0.008707130044189802,0.023290158906385604,0.015158650820730112,9.111118111078547e-05,0.0002873649845569032,0.001080090540159418,0.000721981337210817,0.00026140658617000527,0.00025520224815135954,0.0006415236354225471,0.00025684232910544046,-9.024641322967176e-05,0.0004105948456392963,0.0005744429413118568,0.0002417549392012638
28.521761272650075,1.0802835578270091,0.053442149752451026,0.010190799034485566,0.07320993316626581,0.011841726302562819,0.049881594208799486,0.011046172997226046,0.03492114917497601,0.00374325921793467,0.15941265383677927,0.03021948534413052,0.07499217457895735,0.009459159387028222,exp1_estimation,0.027751489535034052,0.0036954754971872724,0.057293665271413996,0.011117572987398218,0.25,10.525999999998394,0.4147288270663246,0.0,0.0,,,,,estimate,0.0007509120243619138,0.0001673226711723904,0.0011206667089094997,0.00013661602040385018,5,1.0,0.015756407093193765,0.005887415280627149,0.04668187473060812,0.0047931336341444876,step,2.0,1.5811388300841898,0.0,0.0,0.9189999999999999,0.04190515083693966,0.0,0.0,12.490599928423762,0.13632891667802274,14.136114288121462,0.29015863432578254,0.0,0.0,0.0669099276212924,0.011329634676911563,0.08542064696641886,0.01709950540601111,0.060272990541463164,0.015180815154454595,0.05388225701953329,0.021577519788633762,0.22526731621672164,0.03661196437279562,0.11388829732925224,0.014336153442704707,-0.0016179289702436405,0.013050244564980445,0.026959579140028517,0.020808251533670455,-0.0028081163277223833,0.017807346767553776,0.03567550982436883,0.019647868308282572,-0.0003475355889541676,0.012123970563156396,0.02313570665370932,0.01546790805893983,6.431398830984572e-05,0.00037497025708188136,0.0006195429936090294,0.00022376068400076912,0.00025331959381495186,0.00018869437569949438,0.0006603156244563755,0.0002251973688124072,-8.864591846377934e-05,0.0003623148616355384,0.0005761399531759544,0.00021912146376603785
22.150462205076217,1.5003366145654966,0.035236073826535375,0.012968582491581986,0.04934880192741215,0.021622028913470644,0.030512122064762077,0.013602987559440397,0.03389583578246797,0.010693044576821397,0.04977622163587963,0.008790342727606081,0.03245940373210661,0.004833411866616825,exp2_control_comparison,0.006556494924197425,0.0011863706879223883,0.006668292921949847,0.0012129392116558592,0.375,8.759999999999666,1.4859340496809397,0.0,0.0,40.0,0.0,15.0,0.0,estimate,0.0004912889211964455,0.00015380907456566956,0.0005094908354358222,0.0001533760857219454,5,0.5,0.006951262370580276,0.003930402775587908,0.018064089326955593,0.005696874827495875,constant,2.0,1.5811388300841898,0.0,0.0,0.9972222222222221,0.004140866624999629,0.0,0.0,13.484929036349058,0.5087602096131251,15.221664775162935,0.708700447827228,0.0,0.0,0.03814794546332492,0.0136922890261196,0.054086430186383906,0.02258808416881074,0.034197041480578436,0.015035242840618395,0.04616190950278452,0.01745360915685958,0.06818262267713104,0.01204062079579491,0.04563167470172084,0.007606695111040917,0.0016010375560517472,0.0037980979101914325,0.00390457389789841,0.0014839192314371108,0.002331546209108618,0.004107215838173628,0.004017842334863517,0.0023650404551193494,0.0003949991891094862,0.0030240194992384953,0.0025063178603860073,0.0014732523700894294,9.222767625355925e-05,0.00023336894789608302,0.0002522577650690001,0.00013821334495141784,0.0001431112331196681,0.0002643277460741799,0.0002879485809639152,0.00014856898127288182,-9.559760497642783e-05,0.00029051991010605843,0.0002682635490317546,0.0001835281195724903
23.19066334624535,1.0801666766244515,0.05532409836917873,0.01780981774074575,0.06310096966794973,0.015838015566740644,0.04572373880685521,0.013610917359547496,0.0497936135458054,0.007828641207365023,0.060447009498247904,0.0053227907400218545,0.04413087827165128,0.002894862370409549,exp2_control_comparison,0.006891253243643517,0.001113021256934574,0.00703025798755196,0.0011364594202467647,0.375,8.79999999999966,1.3416407865002524,0.0,0.0,40.0,0.0,15.0,0.0,ignore,0.0006507235461815229,0.00025151193748403544,0.0006769235389063405,0.00026161017097642953,5,0.5,0.006978530885545705,0.003954676439558708,0.018639161778650035,0.0055180793424765544,constant,2.0,1.5811388300841898,0.0,0.0,0.961111111111111,0.010658207808538272,0.0,0.0,13.326770812273026,1.0455527291951234,14.950720861088485,1.034227406525702,0.0,0.0,0.054648472454754085,0.020408384553020863,0.06308915977457984,0.018667265708552302,0.04640785441755829,0.017553192921322614,0.06108000479675112,0.014960009464523952,0.07912333282088183,0.005024849207465434,0.0565417055541078,0.006561026065588041,0.0013463932892871506,0.003856374807787575,0.003781394803027091,0.0015062928297346688,0.0029023634341358512,0.004194182928169188,0.004508775890050413,0.002462097598686159,0.0004214202042941104,0.0031933306382314845,0.002696978674665464,0.0015376055201508816,0.00015805079221225589,0.0003092040738190998,0.0003032080842545039,0.00021276266841146067,0.00012918945932594836,0.0003861879885468544,0.00040419925810418564,0.00015006685693903367,-0.00014878487683828856,0.0004109986465605704,0.00035957806654977485,0.0003044224090846095
22.016806641056725,1.2565142946602452,0.03116511505143112,0.012972169954146127,0.04708953658288289,0.016896330442687364,0.029598189409578278,0.010045725287933136,0.03601383293445898,0.010285761155517367,0.05322607247274658,0.006444982273173557,0.035196268884705076,0.002262153755604133,exp2_control_comparison,0.006416155423575698,0.0013458193914699349,0.006558305812254184,0.0013653833239148242,0.375,8.839999999999673,1.3221195104834418,0.0,0.0,40.0,0.0,15.0,0.0,oracle,0.0005085401291337055,0.0001471155132561914,0.0005339519707295811,0.00013806792550664327,5,0.5,0.006932946747850171,0.003945072482147989,0.018595030158432824,0.00561508734061886,constant,2.0,1.5811388300841898,0.0,0.0,0.9879629629629629,0.014493033187498653,0.0,0.0,12.859558244235814,0.24731572250130981,14.68664356507361,0.5239381100043677,0.0,0.0,0.03386321444205989,0.013687867063553865,0.050934222458278,0.01832026666585871,0.032841396338338186,0.011417200967108576,0.05058041122808227,0.018576102939232505,0.07557649230415549,0.011821049294382432,0.04933325934242731,0.006460154545901019,0.0013577128815731125,0.003327179704821418,0.0034337706011914144,0.0012927404684304408,0.0025954506573386453,0.004157066011427323,0.004169395831022966,0.002612594707820455,0.0003782736681580173,0.0030757548159343695,0.0025598615077032636,0.0015723374825432801,9.217352531489399e-05,0.00021119155943905525,0.0002519944551805913,0.00011702559218644849,0.00012852550036095717,0.0003065828088505332,0.0003259029291850161,0.0001358238252918016,-0.00011257453816165269,0.00029320778667743205,0.000263236299168773,0.00021104843697884854
31.826248395354593,4.239784706047592,0.020393559676135098,0.0037300970403524735,0.04100457215448437,0.01163538759001413,0.026029899034264548,0.00947396546534648,0.03125703407422694,0.011231263192847079,0.08859927170784648,0.028996912947832205,0.04622753802293186,0.008280894373446809,exp3_robustness,0.01734532788201023,0.0016970912989251363,0.03336413189602146,0.005896899489582449,0.125,10.200000000000076,1.6852299546358345,0.0,0.0,,,,,estimate,0.0004586047125783998,0.00010605994699495124,0.0006459031083534985,0.00011512122705168426,5,0.5,0.007272408457653419,0.0039206739507153966,0.021923081592809847,0.0037711018201349953,random,2.0,1.5811388300841898,0.0,0.0,0.9004444444444444,0.035316907432804544,0.0,0.0,12.888520816341043,0.8770180048671158,14.201689804904163,1.015218156827409,0.0,0.0,0.024664966100991146,0.006850747018774305,0.04883046918393287,0.015136528603260306,0.030195835809351097,0.012225805037344524,0.032394244756629616,0.020264478154286083,0.12043207715300101,0.03941259802144207,0.06318597261126291,0.011220474723704542,-0.0018371287751178383,0.009214559121155593,0.015971293625258166,0.011849146549636633,-0.0023744249942020956,0.010292470757871451,0.02039838891162172,0.012027155873320395,-8.382432421496152e-05,0.006465393833146981,0.013792458256571005,0.008025883062733682,3.428612966590833e-05,0.00018035032583158715,0.0003616471310429324,5.961880892741484e-05,1.584273619707341e-05,0.00018155687327626812,0.0003806575104013586,9.319005882896608e-05,8.887354198821798e-05,0.00018894326957405512,0.00035748527118611403,0.00013471082282750035
35.82516095232422,4.636918983900171,0.040569587759600935,0.01616000631208429,0.07399380806905656,0.024030968744735107,0.039966628103576665,0.014511475498048754,0.027169698904343748,0.008419687848943334,0.16129347773262612,0.052463458347355454,0.0713361549761917,0.014194427559829758,exp3_robustness,0.030498860294070396,0.004228658188246861,0.06503996490845716,0.012590643484352322,0.125,11.80000000000061,1.2409673645995,0.0,0.0,,,,,estimate,0.0006387320122714891,0.00016172801144422253,0.0011032382274832751,0.00020007857327834587,5,1.0,0.014501484876848145,0.007829412601012473,0.040207759236501495,0.008123791537390195,random,2.0,1.5811388300841898,0.0,0.0,0.904888888888889,0.03975697780202384,0.0,0.0,12.601583288051188,0.1892959340300897,14.34392969822511,0.3926877621294679,0.0,0.0,0.053630255662654294,0.018180160309085484,0.09112599464261026,0.027738662834136948,0.05106256749872884,0.019606888308128442,0.04354072677005094,0.015706815087800568,0.22634162568738306,0.06752793535665812,0.10296319583764443,0.019960412083182014,-0.002897185791587791,0.018108687960489478,0.03006270679279257,0.024785439849576422,-0.0035275386403151613,0.02098396642338588,0.03953852166637205,0.024437087066494032,-0.0006773890262740314,0.013522650762445186,0.026359680813972126,0.016805180295871816,-3.4815748594278992e-06,0.0002926933723935444,0.0006287234727581916,0.0001873367043269506,0.00010876812249995803,0.00023656808141084783,0.0006575228868512797,0.00019548190709564077,5.406257128266145e-05,0.00027115422923797735,0.0005769057642098736,0.00019385351695194958
65.05039349551815,31.54973729492637,0.26943943909743273,0.453724207112485,0.678341390838286,1.2296216577019217,0.337704109349402,0.6057265893485174,0.11278298681435843,0.17742247715005768,0.3101792282281916,0.06140697841459675,0.13233060531285007,0.02462968194370256,exp3_robustness,0.05735134653494357,0.009581310207350221,0.12905235509525828,0.026039698104076033,0.125,14.880800000000855,3.3381197102555555,0.0,0.0,,,,,estimate,0.0011466655152340076,0.00030358527026840774,0.002123426932786362,0.00036337600305100823,5,2.0,0.029231185179746738,0.015228239358376661,0.0780203785034814,0.017123935125452863,random,2.0,1.5811388300841898,0.0,0.0,0.7955555555555556,0.3103721382429983,0.16333333333333333,0.33114373441076334,11.31989136338234,4.353694311841743,16.17820574901998,0.5804160284604899,5.555555555555556e-05,8.281733249999221e-05,0.28424541396426084,0.42435518576072057,0.6970428543110204,1.2115118489804333,0.3586158178613179,0.59440659473693,0.15383891233366487,0.155964844239949,0.42229040671308027,0.07337035570819907,0.1871539659022879,0.027572250286402675,-0.005683934178542892,0.03566344742688991,0.058236297315329776,0.05075921453693415,-0.006020582915463568,0.04213997474287348,0.07883845965730882,0.04868323423555209,-0.0011097807967516305,0.02774255783052903,0.05189077687045063,0.03428004452896336,-0.00025160938068286085,0.0005332341653950009,0.0012058555590345956,0.00047548941982702834,0.00031184191857001214,0.0003014411484761581,0.0012453499287083782,0.00033888376304520065,5.998485023258001e-05,0.0005739140371612436,0.0011104630896375618,0.00036006487669353184
43.06807728808454,8.895897801385038,0.03063169065159348,0.01196231369750051,0.05028609736696764,0.013030878871207185,0.028524093367530378,0.00789657592498549,0.027483270941366756,0.005093477419904537,0.09785916242163928,0.029407970314883514,0.04647181121169099,0.010044725292377163,exp3_robustness,0.01894833087966764,0.0015985763158001187,0.033716441044924425,0.0057529822474391545,0.25,8.959999999999662,0.7668115805074887,0.0,0.0,,,,,estimate,0.0006621254147875879,0.00014650825191443463,0.0008206664998471078,0.0001498693653210491,5,0.5,0.007310697143403462,0.00391502766561212,0.021764601900958313,0.003822372306194924,random,2.0,1.5811388300841898,0.0,0.0,0.9946666666666667,0.00467459643732503,0.0,0.0,12.686404096893966,0.4440803238540934,15.207673674449325,1.2694365861746477,0.0,0.0,0.03583929976178306,0.014333832968433814,0.055583435227813525,0.014468518959706429,0.03179703053077821,0.009170028889683168,0.0346855172058179,0.006874999843711591,0.12793666918930188,0.03843448724519775,0.06328638619880868,0.012317058945628354,-0.0022903187084708115,0.009162742576390666,0.01645535898871955,0.0110757323499648,-0.002311008034771457,0.009353118040743081,0.020728605958647596,0.0114720927432946,0.0005541844692874595,0.00645116447927102,0.014739075546995467,0.007259213190124674,0.00010418643964733618,0.00024679673477746405,0.0004423692460464526,0.00010790320859673843,-8.019653250297486e-06,0.0002801758540521736,0.0004847485936346185,0.0001147607634423625,0.00015762671764114016,0.0002484722676582428,0.00046131214556659254,0.00018752004084201742
